,UNITDESC,WKD_RATE1,WKD_START1,WKD_END1,WKD_RATE2,WKD_START2,WKD_END2,WKD_RATE3,WKD_START3,WKD_END3,SAT_RATE1,SAT_START1,SAT_END1,SAT_RATE2,SAT_START2,SAT_END2,SAT_RATE3,SAT_START3,SAT_END3,PARKING_TIME_LIMIT
89,10TH AVE W BETWEEN W ETRURIA ST AND W BERTONA ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
90,10TH AVE W BETWEEN W GALER ST AND W GARFIELD ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
91,10TH AVE W BETWEEN W GARFIELD ST AND W BLAINE ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
92,10TH AVE W BETWEEN W HALLADAY ST AND W RAYE S ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
93,10TH AVE W BETWEEN W HOWE ST AND W CROCKETT ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
94,10TH AVE W BETWEEN W LEE ST AND OLYMPIC WAY W,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
95,10TH AVE W BETWEEN W MCGRAW ST AND W WHEELER ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
96,10TH AVE W BETWEEN W NEWELL ST AND W ARMOUR ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
97,10TH AVE W BETWEEN W RAYE N ST AND W BOTHWELL ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
98,10TH AVE W BETWEEN W RAYE S ST AND W RAYE N ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
99,10TH AVE W BETWEEN W WHEELER ST AND W HALLADAY ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
100,10TH PL NE BETWEEN NE 106TH ST AND DEAD END 1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
101,10TH PL NE BETWEEN NE 120TH ST AND DEAD END 2,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
102,10TH PL NE BETWEEN NE 123RD ST AND DEAD END 3,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
103,10TH PL W BETWEEN W ARMOUR ST AND W FULTON ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
104,10TH PL W BETWEEN W FULTON ST AND W BARRETT ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
105,11TH AV SW ACCESS RD BETWEEN 13TH AVE SW AND KLICKITAT ER AVE SW,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
106,11TH AVE BETWEEN E ALDER ST AND E TERRACE ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
107,11TH AVE BETWEEN E FIR ST AND E SPRUCE ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
108,11TH AVE BETWEEN E HOWELL ST AND E DENNY WAY,1.5,8,11,2.5,11,17,3.0,17.0,22.0,2.0,8.0,11.0,2.5,11.0,17.0,3.0,17.0,22.0,240.0
109,11TH AVE BETWEEN E MADISON ST AND E UNION ST,2.0,8,11,3.0,11,17,3.0,17.0,22.0,2.0,8.0,11.0,3.0,11.0,17.0,3.0,17.0,22.0,120.0
110,11TH AVE BETWEEN E OLIVE ST AND E HOWELL ST,1.5,8,11,2.5,11,17,3.0,17.0,22.0,2.0,8.0,11.0,2.5,11.0,17.0,3.0,17.0,22.0,240.0
111,11TH AVE BETWEEN E PIKE ST AND E PINE ST,2.0,8,11,3.0,11,17,3.0,17.0,22.0,2.0,8.0,11.0,3.0,11.0,17.0,3.0,17.0,22.0,120.0
112,11TH AVE BETWEEN E PINE ST AND E OLIVE ST,1.5,8,11,2.5,11,17,3.0,17.0,22.0,2.0,8.0,11.0,2.5,11.0,17.0,3.0,17.0,22.0,240.0
113,11TH AVE BETWEEN E SPRUCE ST AND E ALDER ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
114,11TH AVE BETWEEN E TERRACE ST AND E JEFFERSON ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
115,11TH AVE BETWEEN E UNION ST AND E PIKE ST,2.0,8,11,3.0,11,17,3.0,17.0,22.0,2.0,8.0,11.0,3.0,11.0,17.0,3.0,17.0,22.0,120.0
116,11TH AVE E BETWEEN E ALOHA ST AND E PROSPECT ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
117,11TH AVE E BETWEEN E BLAINE ST AND E HOWE ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
118,11TH AVE E BETWEEN E BOSTON ST AND E LYNN ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
119,11TH AVE E BETWEEN E DENNY WAY AND E JOHN ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
120,11TH AVE E BETWEEN E EDGAR ST AND E HAMLIN ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
121,11TH AVE E BETWEEN E HAMLIN ST AND E SHELBY ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
122,11TH AVE E BETWEEN E HARRISON ST AND E REPUBLICAN ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
123,11TH AVE E BETWEEN E HOWE ST AND E NEWTON ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
124,11TH AVE E BETWEEN E JOHN ST AND E THOMAS W ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
125,11TH AVE E BETWEEN E LYNN ST AND E MILLER S ST,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
